feature,psi,status
duracion_dias,0.5174904462941898,🔴 Retrain
dias_firma_a_inicio,0.46665829283074794,🔴 Retrain
process_anomaly_score,0.13942884251409138,⚠️  Monitor
log_valor,0.1367878621734499,⚠️  Monitor
risk_index,0.12392111675517942,⚠️  Monitor
vendor_modified_rate,0.0313934780557507,✅ Stable
network_score,0.021994841382828173,✅ Stable
vendor_direct_rate,0.021608950948351417,✅ Stable
agency_hhi,0.016233175728945493,✅ Stable
agency_top_vendor_share,0.00989779181912415,✅ Stable
is_direct,0.0,✅ Stable
is_modified,0.0,✅ Stable
splitting_score,0.0,✅ Stable
